gene_name	log2FoldChange	pvalue	padj
ADAMTS9	0,131196877	0,472940419	1
ADAMTS9-AS1	-0,727325649	0,534441326	1
ADAMTS9-AS2	-0,79459964	0,414285461	1
ADAMTSL1	0,054847273	0,813258264	1
ADAMTSL2	0,124469831	0,836903494	1
ADAMTSL3	0,162987552	0,710784379	1
ADAMTSL4	-0,152461018	0,725677776	1
ADAMTSL4-AS1	0,653566654	0,674644741	1
ADAMTSL4-AS2	-0,625307126	0,845182515	1
ADAMTSL5	-0,481089459	0,231078912	1
ADAP1	0,072100254	0,905271416	1
ADAP2	-0,165549516	0,892218706	1
ADAR	0,02105244	0,891444884	1
ADARB1	0,343800392	0,072010282	1
ADARB2	0,514879483	0,468633767	1
ADAT1	0,219721344	0,194372933	1
ADAT2	-0,076315994	0,768434327	1
ADAT3	-0,041907168	0,945794868	1
ADCK1	-0,070318866	0,806062575	1
ADCK2	0,119523494	0,661657648	1
ADCK5	0,377200028	0,298289725	1
ADCY1	0,240186288	0,426787849	1
ADCY10	-0,49938656	0,759865105	1
ADCY10P1	0,278116053	0,457452656	1
ADCY2	0,310001355	0,190568683	1
ADCY3	0,132876395	0,420918815	1
ADCY4	0,100928623	0,935548005	1
ADCY5	-0,11039049	0,606417397	1
ADCY6	0,043260322	0,778302133	1
ADCY6-DT	-2,135350647	0,375268502	1
ADCY7	0,561961719	0,071080785	1
ADCY8	-0,222936193	0,533952072	1
ADCY9	0,29395869	0,096848169	1
ADCYAP1	-0,313545753	0,437987364	1
ADCYAP1R1	-0,35896061	0,183109528	1
ADD1	0,001177075	0,99266544	1
ADD2	-0,033934358	0,904940133	1
ADD3	-0,167470584	0,298193242	1
ADD3-AS1	0,22965208	0,629519535	1
ADGB	-0,994752309	0,805129772	1
ADGRA1	0,354471734	0,316940206	1
ADGRA1-AS1	-1,456899442	0,168465641	1
ADGRA2	0,113460433	0,473399382	1
ADGRA3	-0,031032597	0,843790105	1
ADGRB1	-0,00733851	0,981736375	1
ADGRB2	-0,036947931	0,853445126	1
ADGRB3	0,183100194	0,691656417	1
ADGRD1	1,031411088	0,016116548	1
ADGRD2	1,310836533	0,657786241	1
ADGRE1	-1,299425042	0,833364841	1
ADGRE2	1,165165473	0,046514224	1
ADGRE4P	0	1	1
ADGRE5	0,161626507	0,558272829	1
ADGRF1	-2,410757509	0,285073162	1
ADGRF2	-0,033888625	0,995632772	1
ADGRF3	0,292103076	0,847805947	1
ADGRF4	-2,869674705	0,63975127	1
ADGRF5	0,365211185	0,406000833	1
ADGRF5P1	0,562968768	0,566308617	1
ADGRF5P2	0	1	1
ADGRG1	0,187920182	0,482366428	1
ADGRG2	0,618963289	0,022415983	1
ADGRG3	-1,392476579	0,820185024	1
ADGRG4	1,217816532	0,84310907	1
ADGRG5	-1,01684799	0,868873991	1
ADGRG6	-0,784964117	0,097593955	1
ADGRG7	0	1	1
ADGRL1	0,029469527	0,850925187	1
ADGRL1-AS1	0,236249199	0,503593019	1
ADGRL2	0,05933272	0,755832317	1
ADGRL3	0,002709518	0,989563423	1
ADGRL4	-0,398783235	0,509637811	1
ADGRV1	0,215438334	0,431732546	1
ADH1A	2,493562554	0,685717513	1
ADH1B	-0,162706843	0,741295389	1
ADH1C	-0,035815531	0,952341439	1
ADH4	0	1	1
ADH5	-0,237266396	0,057139728	1
ADH5P4	-0,67819764	0,913244471	1
ADH6	0,72587743	0,900332792	1
ADHFE1	0,348169971	0,416647303	1
ADI1	-0,021725832	0,890847328	1
ADIPOQ	2,119619969	0,583158885	1
ADIPOR1	0,004201719	0,976939892	1
ADIPOR2	-0,040887377	0,755066244	1
ADIRF	0,750245812	0,82050815	1
ADIRF-AS1	-0,040814674	0,917478337	1
ADK	-0,084054443	0,673526086	1
ADM	-0,510297689	0,110184255	1
ADM2	-0,123745544	0,748391089	1
ADM5	0,267579311	0,759753475	1
ADM-DT	-0,45703159	0,919488618	1
ADNP	-0,036408787	0,814405223	1
ADNP2	-0,03173328	0,862034294	1
ADNP-AS1	-0,491055994	0,502470288	1
ADO	-0,069458	0,699003039	1
ADORA1	-0,114970456	0,733510078	1
ADORA2A	-0,178146312	0,648079529	1
ADORA2A-AS1	1,13245633	0,85535486	1
ADORA2B	-0,625854546	0,050709658	1
ADPGK	0,050020893	0,745114156	1
ADPGK-AS1	0,318289323	0,953607431	1
ADPRH	0,070719376	0,897501607	1
ADPRHL1	0,716829482	0,196897542	1
ADPRM	-0,025246443	0,921538992	1
ADPRS	-0,133429124	0,47278378	1
ADRA1A	0,700302321	0,33789741	1
ADRA1B	-0,211844414	0,775103654	1
ADRA1D	0,703028227	0,169171147	1
ADRA2A	-0,149238334	0,736230656	1
ADRA2B	-0,412324485	0,726024145	1
ADRA2C	-0,043056135	0,949119289	1
ADRB1	-2,126965025	0,351976659	1
ADRB2	-0,45533744	0,4907791	1
ADRB3	-0,169354132	0,977765957	1
ADRM1	-0,066269937	0,72358933	1
ADSL	-0,070196062	0,631053659	1
ADSS1	0,113580832	0,709800951	1
ADSS2	-0,233614366	0,131508184	1
ADTRP	3,44703428	0,574204094	1
AEBP1	0,376014274	0,031242204	1
AEBP2	-0,11034732	0,490552272	1
AEN	0,02473583	0,903786452	1
AFAP1	0,144537337	0,344339115	1
AFAP1-AS1	2,901772227	0,429809982	1
AFAP1L1	0,117321021	0,599716093	1
AFAP1L2	0,045720301	0,798524164	1
AFDN	0,037899186	0,817691368	1
AFDN-DT	0,010386195	0,979566254	1
AFF1	0,198742046	0,322758895	1
AFF2	0,144083474	0,492951803	1
AFF2-IT1	0	1	1
AFF3	-0,036679306	0,845799863	1
AFF4	0,18823089	0,362208204	1
AFF4-DT	2,806567489	0,650388595	1
AFG1L	0,219055795	0,508414435	1
AFG3L1P	0,25702773	0,198788869	1
AFG3L2	-0,079915493	0,565381022	1
AFMID	-0,075492094	0,757668738	1
AFP	-1,502459656	0,592489105	1
AFTPH	-0,150829619	0,431654426	1
AFTPH-DT	-0,09461007	0,920345849	1
AGA	-0,46436118	0,120378106	1
AGA-DT	1,246331955	0,289850632	1
AGAP1	0,143794351	0,45355059	1
AGAP10P	2,564815946	0,021962675	1
AGAP12P	0,260114812	0,763118381	1
AGAP13P	0,961587349	0,599920318	1
AGAP14P	1,38258748	0,328429874	1
AGAP1-IT1	0,883422587	0,69982395	1
AGAP2	0,159815744	0,586152243	1
AGAP2-AS1	0,461819861	0,505542183	1
AGAP3	0,035900347	0,824255559	1
AGAP4	0,304524559	0,14427827	1
AGAP5	0,032436766	0,912593941	1
AGAP6	0,025084713	0,889156114	1
AGAP7P	-0,330948408	0,77841302	1
AGAP9	-0,078536024	0,727545641	1
AGBL1	1,229149368	0,049817629	1
AGBL2	0,363828384	0,62854494	1
AGBL3	-0,640967633	0,231100707	1
AGBL4	0,897139598	0,366590967	1
AGBL5	-0,008187173	0,962840206	1
AGBL5-AS1	3,00208652	0,62324822	1
AGBL5-IT1	-1,27968311	0,836571934	1
AGER	-0,266481921	0,484216293	1
AGFG1	-0,110965655	0,510240981	1
AGFG2	0,10240105	0,710304342	1
AGGF1	-0,0274424	0,87420028	1
AGGF1P1	3,357615344	0,266230283	1
AGGF1P10	-1,122607327	0,843651816	1
AGGF1P2	-0,921727164	0,772088082	1
AGGF1P3	-1,007399581	0,787911084	1
AGK	-0,063749986	0,70878563	1
AGK-DT	-2,068691297	0,59583423	1
AGL	0,217984254	0,321924299	1
AGMAT	0,860666201	0,378046883	1
AGMO	0,396509535	0,590854452	1
AGPAT1	-0,026088907	0,854604254	1
AGPAT2	0,152863264	0,593086042	1
AGPAT3	0,116159902	0,448990706	1
AGPAT4	-0,011704849	0,953587632	1
AGPAT5	0,070688909	0,645030811	1
AGPS	-0,139384012	0,383691482	1
AGR2	1,112082585	0,311891931	1
AGR3	0	1	1
AGRN	-0,003597731	0,981966877	1
AGT	0,558394248	0,200643822	1
AGTPBP1	-0,247927644	0,206899113	1
AGTR1	0,034893971	0,896546661	1
AGTR2	-0,641105153	0,280426218	1
AGTRAP	-0,036623019	0,894050626	1
AGXT	0,183245319	0,888785938	1
AHCTF1	0,048451559	0,802284918	1
AHCTF1P1	0,562566517	0,827842018	1
AHCY	0,063274557	0,672723524	1
AHCYL1	-0,10366459	0,441902625	1
AHCYL2	0,163776535	0,35518879	1
AHCYP2	2,926006511	0,6359135	1
AHCYP7	0	1	1
AHDC1	0,21741664	0,147206851	1
AHI1	0,020765797	0,914096185	1
AHNAK	0,19667109	0,682610204	1
AHNAK2	0,562524654	0,013877376	1
AHR	0,001258456	0,995429763	1
AHRR	2,667232756	0,122173415	1
AHSA1	-0,166497203	0,296142437	1
AHSA2P	0,181686255	0,220231346	1
AHSG	1,4637036	0,444748965	1
AHSP	1,104486038	0,859221612	1
AICDA	2,21903901	0,414071016	1
AIDA	-0,029351351	0,844762232	1
AIDAP2	-1,148760068	0,851829145	1
AIF1	-0,433268132	0,71313885	1
AIF1L	-0,083364521	0,682992099	1
AIFM1	-0,040388624	0,825795604	1
AIFM2	-0,371306338	0,293458856	1
AIFM3	-0,023263728	0,97789144	1
AIG1	-0,109802629	0,54705191	1
AIM2	-0,570308546	0,639316297	1
AIMP1	-0,080434324	0,616884328	1
AIMP2	-0,070394985	0,761422775	1
AIP	-0,119189005	0,558447971	1
AIPL1	1,399892448	0,534233703	1
AIRE	-4,479438042	0,08387603	1
AJAP1	0,041165993	0,881149461	1
AJM1	0,078474286	0,875013382	1
AJUBA	-0,350525822	0,039960614	1
AJUBA-DT	-0,080311329	0,930183848	1
AK1	-0,075358827	0,625234998	1
AK2	-0,005828529	0,967284	1
AK2P2	0	1	1
AK3	-0,258045929	0,058689355	1
AK3P3	-0,33515847	0,69869306	1
AK3P5	0,744611182	0,904013719	1
AK4	-0,065472054	0,771740263	1
AK4P1	0,873252317	0,431708979	1
AK4P2	-0,691404094	0,911582239	1
AK4P4	2,230364532	0,558846014	1
AK5	-0,029073991	0,917725416	1
AK6	-0,050859819	0,80814307	1
AK7	-1,021898496	0,1569644	1
AK8	0,513400419	0,579307107	1
AK9	-0,374257488	0,132120291	1
AKAIN1	0,436777033	0,773589951	1
AKAP1	0,195669304	0,240138528	1
AKAP10	-0,003708184	0,983169766	1
AKAP11	0,128208249	0,56599117	1
AKAP12	-0,105770707	0,545363319	1
AKAP13	0,23280179	0,271809551	1
AKAP14	0,094363472	0,972033522	1
AKAP17A	0,069866359	0,657412342	1
AKAP17BP	3,357389016	0,477743021	1
AKAP1-DT	-0,061812896	0,94158627	1
AKAP3	0,152244499	0,833113123	1
AKAP4	-0,028005569	0,985586163	1
AKAP5	-0,090467904	0,839803419	1
AKAP6	-0,224981183	0,369444218	1
AKAP7	-0,142720667	0,543718209	1
AKAP8	0,141294899	0,390843008	1
AKAP8L	0,12572736	0,431202096	1
AKAP9	0,166185799	0,442055628	1
AKIP1	-0,483187172	0,054189293	1
AKIRIN1	-0,010736222	0,938094945	1
AKIRIN2	0,108109475	0,544100612	1
AKNA	-0,048150206	0,827345999	1
AKNAD1	0,442762032	0,200312978	1
AKR1A1	-0,165199273	0,2770362	1
AKR1B1	-0,095666703	0,54714247	1
AKR1B10	-3,438178324	0,095841057	1
AKR1B15	0,105825446	0,923314916	1
